key,opponent,place,location,navyScore,opponentScore,result,date
0,Virginia,at,"38.0401499, -78.7",12,15,loss,"Saturday, February 9, 2019"
1,Saint Joseph's,vs,"40.0024137, -75.2581161",12,11,win,"Sunday, February 17, 2019"
2,Towson,vs,"39.3963558, -76.6501609",14,13,win,"Saturday, February 23, 2019"
3,Villanova,at,"40.0369047, -75.3830509",14,16,loss,"Wednesday, February 27, 2019"
4,Florida,vs,"29.6862521, -82.389786",14,13,win,"Saturday, March 2, 2019"
5,Boston College,vs,"42.3323137, -71.1801523",5,18,loss,"Wednesday, March 6, 2019"
6,Brown,vs,"41.8169872, -71.4561998",18,12,win,"Saturday, March 9, 2019"
7,Colgate,at,"42.8341946, -75.5873459",18,6,win,"Saturday, March 16, 2019"
8,Bucknell,vs,"40.9631304, -76.9017217",17,4,win,"Saturday, March 23, 2019"
9,Lehigh,at,"40.6253506, -75.4360666",23,6,win,"Wednesday, March 27, 2019"
10,Holy Cross,vs,"42.2755407, -71.8777781",22,6,win,"Saturday, March 30, 2019"
11,Loyola,at,"39.2848183, -76.9",6,16,loss,"Saturday, April 6, 2019"
12,Georgetown,at,"38.89378, -77.154661",16,9,win,"Wednesday, April 10, 2019"
13,Army West Point,vs,"41.3722571, -74.3",21,8,win,"Saturday, April 13, 2019"
14,American,vs,"38.89378, -77.154661",20,10,win,"Wednesday, April 17, 2019"
15,Lafayette,vs,"40.6788652, -75.2716353",21,5,win,"Saturday, April 20, 2019"
16,Boston University,at,"42.3142647, -71.1103669",13,12,win,"Thursday, April 25, 2019"
17,Army West Point,vs,"41.3722571, -74.0810676",20,10,win,"Thursday, May 2, 2019"
18,Loyola,at,"39.2848183, -76.6905261",9,21,loss,"Saturday, May 4, 2019"
19,High Point,vs,"35.9996099, -80.0537093",16,5,win,"Friday, May 10, 2019"
20,Virginia,at,"38.0401499, -78.5199934",12,15,loss,"Sunday, May 12, 2019"
