,Navy_clear_attempts,Navy_draw_controls,Navy_failed_clears,Navy_fouls,Navy_free_positions,Navy_goals,Navy_ground_ball_pickups,Navy_possessions,Navy_shots,Navy_successful_clears,Navy_timeouts,Navy_turnovers,clear_attempts,draw_controls,fouls,free_position_attempts,goals,ground_ball_pickups,opponent_clear_attempts,opponent_draw_controls,opponent_failed_clears,opponent_fouls,opponent_free_positions,opponent_goals,opponent_ground_ball_pickups,opponent_possessions,opponent_shots,opponent_successful_clears,opponent_timeouts,opponent_turnovers,possessions,shots,timeouts,turnovers
0,19,19,2,10,0,20,19,34,16,17,0,14,37,31,25,12,30,36,18,12,5,15,12,10,17,56,19,13,1,15,60,35,1,29
1,19,17,1,16,0,21,21,37,17,18,0,12,34,31,39,13,29,31,15,14,3,23,13,8,10,55,9,12,1,20,63,26,1,32
2,13,26,0,14,0,20,15,34,22,13,0,7,30,32,39,16,30,24,17,6,1,25,16,10,9,55,21,16,0,8,47,43,0,15
3,21,7,3,12,0,5,17,22,17,18,0,12,41,25,22,6,23,33,20,18,3,10,6,18,16,55,16,17,2,15,52,33,2,27
4,18,16,2,15,0,13,18,31,17,16,0,17,42,27,32,17,25,36,24,11,5,17,17,12,18,55,16,19,5,15,59,33,5,32
5,24,21,2,24,0,18,15,31,21,22,0,14,49,32,53,19,30,31,25,11,3,29,19,12,16,56,24,22,2,10,56,45,2,24
6,21,19,2,12,0,17,17,39,30,19,0,12,50,20,37,14,21,31,29,1,9,25,14,4,14,55,14,20,2,20,52,44,2,32
7,23,11,5,0,0,18,28,32,18,18,0,13,39,26,27,15,24,42,16,15,2,27,15,6,14,55,15,14,1,21,60,33,1,34
8,23,15,5,9,0,14,18,30,15,18,0,19,44,28,40,14,27,37,21,13,1,31,14,13,19,56,19,20,6,15,62,34,6,34
9,22,16,3,8,0,16,19,31,16,19,0,16,39,27,32,15,25,37,17,11,1,24,15,9,18,55,16,16,2,15,58,32,2,31
10,17,16,1,11,0,16,21,30,11,16,0,16,37,23,23,1,21,38,20,7,4,12,1,5,17,55,17,16,3,14,53,28,3,30
11,20,16,1,13,0,22,21,35,22,19,0,11,39,30,35,14,28,32,19,14,8,22,14,6,11,56,14,11,1,19,60,36,1,30
12,17,21,2,15,0,21,17,39,20,15,0,6,38,27,20,9,26,32,21,6,6,5,9,5,15,55,12,15,3,18,51,32,3,24
13,16,20,3,10,0,23,16,31,19,13,0,9,31,30,28,8,29,25,15,10,4,18,8,6,9,59,15,11,3,11,50,34,3,20
14,16,16,4,19,0,6,16,29,18,12,0,15,39,24,38,15,22,34,23,8,2,19,15,16,18,55,9,21,4,13,52,27,4,28
15,9,17,1,17,0,9,8,23,15,8,0,8,25,32,46,27,30,17,16,15,1,29,27,21,9,56,9,15,5,6,46,24,5,14
16,21,16,5,14,0,12,24,35,25,16,0,16,47,25,39,11,23,47,26,9,3,25,11,11,23,55,17,23,5,19,60,42,5,35
17,19,18,2,20,0,14,21,38,15,17,0,23,44,28,48,17,27,37,25,10,5,28,17,13,16,56,11,20,6,20,71,26,6,43
18,21,15,2,13,0,14,17,35,17,19,0,21,47,21,37,4,20,36,26,6,6,24,4,6,19,55,12,20,2,20,62,29,2,41
19,18,16,5,19,0,12,18,32,18,13,0,18,34,29,48,2,27,36,16,13,1,29,2,15,18,57,13,15,4,16,63,31,4,34
20,14,19,1,22,0,12,12,33,17,13,0,14,29,28,38,1,27,27,15,9,2,16,1,15,15,55,13,13,5,14,56,30,5,28
